"dependency_id","unit_id","phase","unit_type","asm_anchor","asm_symbol","target","preconditions","postconditions","side_effects","c_owner_candidates","c_function_candidates","status","verified_owner","probe","verification_notes","priority"
"10","SURGE_SET_BEAT","post_surge","event_set","scripts/VermilionGym.asm:69","VermilionGymLTSurgeReceiveTM24Script","EVENT_BEAT_LT_SURGE","battle won against surge","event set","none","src/game/gym_scripts.c","GymScripts_OnVictory","implemented","src/game/gym_scripts.c:GymScripts_OnVictory","Beat Surge then inspect event flag dump","Sets EVENT_BEAT_LT_SURGE and Thunder badge bit in wObtainedBadges.","P0"
"11","SURGE_SET_TM24","post_surge","item_branch","scripts/VermilionGym.asm:76","VermilionGymLTSurgeReceiveTM24Script","EVENT_GOT_TM24","bag has space and reward flow reached","event set when item granted","item grant branch text path","src/game/vermilion_gym_scripts.c","Leader reward branch","unknown","","Beat Surge with/without bag space and compare branches","","P1"
"12","SURGE_BADGE_BITS","post_surge","badge_bit","scripts/VermilionGym.asm:84-86","VermilionGymLTSurgeReceiveTM24Script","BIT_THUNDERBADGE (obtained+beat)","surge reward flow reached","badge bits set in both stores","trainer deactivation range follows","src/game/gym_scripts.c","GymScripts_OnVictory","partial","src/game/gym_scripts.c:GymScripts_OnVictory","Check badge menu + route23 thunder gate behavior","wObtainedBadges BIT_THUNDER is set; no separate wBeatGymFlags parity write found.","P0"
"20","RH_SET_BEAT_GIO","rocket_hideout","event_set","scripts/RocketHideoutB4F.asm:54","RocketHideoutB4FBeatGiovanniScript","EVENT_BEAT_ROCKET_HIDEOUT_GIOVANNI","battle won vs hideout giovanni","event set","hide/show object sequence and fade","src/game/rockethideout_b4f_scripts.c;src/data/event_data.c;src/game/game.c","RocketHideoutB4F_GiovanniScript|RocketHideoutB4FScripts_GetPendingBattle|RocketHideoutB4FScripts_OnVictory","implemented","src/game/rockethideout_b4f_scripts.c:RocketHideoutB4FScripts_OnVictory","Beat hideout giovanni and verify persistence after reload","Giovanni NPC callback launches scripted trainer battle; victory sets EVENT_BEAT_ROCKET_HIDEOUT_GIOVANNI and hides Giovanni NPC.","P0"
"21","RH_LIFT_KEY_ONCE","rocket_hideout","event_set","scripts/RocketHideoutB4F.asm:193","RocketHideoutB4FRocket3AfterBattleText","EVENT_ROCKET_DROPPED_LIFT_KEY","trainer3 after-battle text reached","one-time key drop gate set","item object shown exactly once","src/game/rockethideout_b4f_scripts.c;src/data/event_data.c;src/game/game.c","RocketHideoutB4F_Rocket3Script|RocketHideoutB4FScripts_OnVictory","implemented","src/game/rockethideout_b4f_scripts.c:RocketHideoutB4FScripts_OnVictory","Defeat trainer twice; ensure key object not duplicated","Rocket3 scripted battle now sets EVENT_BEAT_ROCKET_HIDEOUT_4_TRAINER_2 and one-time EVENT_ROCKET_DROPPED_LIFT_KEY (guarded by !CheckEvent).","P1"
"22","RH_SILPH_SCOPE_ITEM","rocket_hideout","state_transition","scripts/RocketHideoutB4F.asm:85","RocketHideoutB4F_TextPointers","TEXT_ROCKETHIDEOUTB4F_SILPH_SCOPE","giovanni arc completed and item still present","scope pickup must exist","item mapping + object toggle integrity","src/data/event_data.c;src/game/item_scripts.c","Map item table binding","missing","","Pick up Silph Scope and verify inventory + object removal","Silph Scope remains static item in event_data map items; no story-script object toggle parity implemented yet.","P0"
"30","PT6_MAROWAK_SET","lavender_tower","event_set","scripts/PokemonTower6F.asm:64","PokemonTower6FMarowakBattleScript","EVENT_BEAT_GHOST_MAROWAK","marowak battle won","event set","departure text/cry sequence","src/game/pokemon_tower_6f_scripts.c","Marowak battle result handler","missing","","Beat Marowak then re-enter trigger tile: no retrigger","No PokemonTower6F script module found; event not referenced in src/game.","P0"
"31","PT7_RESCUE_FUJI","lavender_tower","event_set","scripts/PokemonTower7F.asm:229-230","PokemonTower7FMrFujiText","EVENT_RESCUED_MR_FUJI + EVENT_RESCUED_MR_FUJI_2","mr fuji dialog resolved","both events set","saffron toggle updates + warp script arm","src/game/pokemon_tower_7f_scripts.c","Mr Fuji text callback","missing","","Talk to Fuji then verify Mr Fuji house + saffron NPC state","No PokemonTower7F script module found; rescue flags not referenced in src/game.","P0"
"32","FUJI_FLUTE_SET","lavender_tower","item_branch","scripts/MrFujisHouse.asm:72-81","MrFujisHouseMrFujiText","EVENT_GOT_POKE_FLUTE","fuji rescued and flute not yet obtained","event set when flute granted","bag full branch retains unset flag","src/game/mr_fujis_house_scripts.c","Fuji reward branch","missing","","Obtain flute then re-talk to verify post-item text branch","No MrFujisHouse script module found; EVENT_GOT_POKE_FLUTE not referenced in src/game.","P0"
"40","SILPH11_SET_BEAT","sliph_co","event_set","scripts/SilphCo11F.asm:233","SilphCo11FGiovanniAfterBattleScript","EVENT_BEAT_SILPH_CO_GIOVANNI","giovanni silph battle won","event set","team rocket hide/show global toggles","src/game/silph_co_11f_scripts.c","Giovanni after-battle handler","missing","","Beat Giovanni and verify rockets removed across mapped floors","No SilphCo11F script module found; event not referenced in src/game.","P0"
"41","SILPH11_MASTER_BALL","sliph_co","item_branch","scripts/SilphCo11F.asm:295-304","SilphCo11FSilphPresidentText","EVENT_GOT_MASTER_BALL","president talked to with flag clear","event set when item granted","no-room branch text + unset","src/game/silph_co_11f_scripts.c","President script branch","unknown","","Collect Master Ball then re-talk to confirm alternate text","","P1"
"50","GYM5_SET_BEAT","gyms","event_set","scripts/FuchsiaGym.asm:52","FuchsiaGymSabrinaReceiveTM06Script","EVENT_BEAT_KOGA","battle won vs koga","event set","none","src/game/fuchsia_gym_scripts.c","Koga post-battle","missing","","Beat Koga and dump event state","No Fuchsia gym script owner found; event not referenced in src/game.","P0"
"51","GYM5_SET_TM06","gyms","item_branch","scripts/FuchsiaGym.asm:59","FuchsiaGymSabrinaReceiveTM06Script","EVENT_GOT_TM06","koga reward branch and bag space","event set on successful grant","badge bits set regardless of bag-full branch","src/game/fuchsia_gym_scripts.c","Koga reward branch","unknown","","Bag-full test and normal test","","P1"
"52","GYM5_BADGE_BITS","gyms","badge_bit","scripts/FuchsiaGym.asm:65-67","FuchsiaGymSabrinaReceiveTM06Script","BIT_SOULBADGE (obtained+beat)","koga completion","relevant bits set","trainer range deactivate","src/game/fuchsia_gym_scripts.c","Koga finalize","missing","","Route23 soul gate accepts badge after clear","No Fuchsia gym implementation located in current modules.","P0"
"60","GYM6_SET_BEAT","gyms","event_set","scripts/SaffronGym.asm:50","SaffronGymSabrinaReceiveTM46Script","EVENT_BEAT_SABRINA","battle won vs sabrina","event set","none","src/game/saffron_gym_scripts.c","Sabrina post-battle","missing","","Beat Sabrina event check","No Saffron gym script owner found; event not referenced in src/game.","P0"
"61","GYM6_SET_TM46","gyms","item_branch","scripts/SaffronGym.asm:57","SaffronGymSabrinaReceiveTM46Script","EVENT_GOT_TM46","sabrina reward and bag space","event set","bag-full alternate text","src/game/saffron_gym_scripts.c","Sabrina reward branch","unknown","","Bag-full/normal branch comparison","","P1"
"62","GYM6_BADGE_BITS","gyms","badge_bit","scripts/SaffronGym.asm:63-65","SaffronGymSabrinaReceiveTM46Script","BIT_MARSHBADGE (obtained+beat)","sabrina completion","bits set","trainer range deactivate","src/game/saffron_gym_scripts.c","Sabrina finalize","missing","","Route23 marsh gate accepts badge after clear","No Saffron gym implementation located in current modules.","P0"
"70","GYM7_SET_BEAT","gyms","event_set","scripts/CinnabarGym.asm:150","CinnabarGymReceiveTM38","EVENT_BEAT_BLAINE","battle won vs blaine","event set","none","src/game/cinnabar_gym_scripts.c","Blaine post-battle","missing","","Beat Blaine event check","No Cinnabar gym script owner found; event not referenced in src/game.","P0"
"71","GYM7_SET_TM38","gyms","item_branch","scripts/CinnabarGym.asm:157","CinnabarGymReceiveTM38","EVENT_GOT_TM38","blaine reward and bag space","event set","bag-full alternate text","src/game/cinnabar_gym_scripts.c","Blaine reward branch","unknown","","Bag-full/normal branch comparison","","P1"
"72","GYM7_BADGE_BITS","gyms","badge_bit","scripts/CinnabarGym.asm:163-165","CinnabarGymReceiveTM38","BIT_VOLCANOBADGE (obtained+beat)","blaine completion","bits set","map loaded flag side-effect","src/game/cinnabar_gym_scripts.c","Blaine finalize","missing","","Route23 volcano gate accepts badge after clear","No Cinnabar gym implementation located in current modules.","P0"
"80","GYM8_SET_BEAT","gyms","event_set","scripts/ViridianGym.asm:142","ViridianGymReceiveTM27","EVENT_BEAT_VIRIDIAN_GYM_GIOVANNI","battle won vs giovanni gym","event set","none","src/game/viridian_gym_scripts.c","Giovanni post-battle","missing","","Beat gym giovanni and inspect flags","No Viridian gym script owner found; event not referenced in src/game.","P0"
"81","GYM8_ARM_R22B2","gyms","event_set","scripts/ViridianGym.asm:167","ViridianGymReceiveTM27","EVENT_2ND_ROUTE22_RIVAL_BATTLE + EVENT_ROUTE22_RIVAL_WANTS_BATTLE","viridian gym giovanni complete","both arm flags set","Route22 rival2 object shown","src/game/viridian_gym_scripts.c","Giovanni reward finalize","missing","","Leave gym then step Route22 trigger tiles","No setter found for EVENT_2ND_ROUTE22_RIVAL_BATTLE in C; required arm path absent.","P0"
"90","R22B_ENTRY_GATE","route22_rival2","event_check","scripts/Route22.asm:59+74","Route22DefaultScript","EVENT_ROUTE22_RIVAL_WANTS_BATTLE + EVENT_2ND_ROUTE22_RIVAL_BATTLE","player on trigger coords and flags armed","rival2 branch chosen","joy ignore + encounter lock","src/game/route22_scripts.c","Route22Scripts_StepCheck","implemented","src/game/route22_scripts.c:Route22Scripts_StepCheck","Trigger with both arm flags set and confirm rival2 class path","Checks wants-battle + 2nd-route22 arm flag and branches to rival2 mode.","P0"
"91","R22B_SET_BEAT","route22_rival2","event_set","scripts/Route22.asm:326","Route22Rival2AfterBattleScript","EVENT_BEAT_ROUTE22_RIVAL_2ND_BATTLE","rival2 battle won","event set","after-battle text + music branch","src/game/route22_scripts.c","Route22Scripts_OnVictory","implemented","src/game/route22_scripts.c:Route22Scripts_OnVictory","Win rival2 then verify text branch in route22 npc text","Sets EVENT_BEAT_ROUTE22_RIVAL_2ND_BATTLE in second encounter mode.","P0"
"92","R22B_DISARM","route22_rival2","event_reset","scripts/Route22.asm:375","Route22Rival2ExitScript","EVENT_2ND_ROUTE22_RIVAL_BATTLE + EVENT_ROUTE22_RIVAL_WANTS_BATTLE","rival2 exit completed","both arm flags reset","rival hidden + default music","src/game/route22_scripts.c","Route22Scripts_Tick (R22S_CLEANUP)","implemented","src/game/route22_scripts.c:R22S_CLEANUP","After exit re-step trigger tile should not retrigger","Clears 2nd arm flag and wants-battle after exit.","P0"
"100","R23_PASS_FLAGS","route23","event_set","scripts/Route23.asm:33-219","Route23CheckForBadgeScript","EVENT_PASSED_*BADGE_CHECK","badge verified by runtime check","corresponding pass event set","text + pushback/allow branches","src/game/gate_scripts.c","Gate_Route23_Earth/Volcano/Marsh/Soul/Rainbow/Thunder/Cascade","implemented","src/game/gate_scripts.c:pass_guard + Gate_Route23_*","Pass each guard once then verify memoized re-pass","Uses Badge_Has OR existing pass event, then memoizes pass with pass_guard().","P0"
"101","R23_LIVE_BADGE_TEST","route23","event_check","scripts/Route23.asm:202-213","Route23CheckForBadgeScript","wObtainedBadges flag test","player interacts with guard","allow or deny based on live badge bit","player forced step down on deny","src/game/gate_scripts.c","Gate_Route23_*","implemented","src/game/gate_scripts.c:Gate_Route23_*","Simulate missing badge and ensure forced pushback","Live badge check via Badge_Has() gates pass/deny flow.","P0"
"110","E4_LORELEI_GATE","elite4","event_check","scripts/LoreleisRoom.asm:19","LoreleiShowOrHideExitBlock","EVENT_BEAT_LORELEIS_ROOM_TRAINER_0","map load in room","exit tile blocked/unblocked","started_elite4 bit set","src/game/loreleis_room_scripts.c","Map-load block updater","missing","","Beat Lorelei and verify exit opens only after battle","No Lorelei room script owner found in src/game.","P0"
"111","E4_BRUNO_GATE","elite4","event_check","scripts/BrunosRoom.asm:17","BrunoShowOrHideExitBlock","EVENT_BEAT_BRUNOS_ROOM_TRAINER_0","map load in room","exit tile blocked/unblocked","none","src/game/brunos_room_scripts.c","Map-load block updater","missing","","Beat Bruno and verify exit opens only after battle","No Bruno room script owner found in src/game.","P0"
"112","E4_AGATHA_GATE","elite4","event_check","scripts/AgathasRoom.asm:17","AgathaShowOrHideExitBlock","EVENT_BEAT_AGATHAS_ROOM_TRAINER_0","map load in room","exit tile blocked/unblocked","none","src/game/agathas_room_scripts.c","Map-load block updater","missing","","Beat Agatha and verify exit opens only after battle","No Agatha room script owner found in src/game.","P0"
"120","LANCE_LOCK_ONCE","lance","event_set","scripts/LancesRoom.asm:71","LancesRoomDefaultScript","EVENT_LANCES_ROOM_LOCK_DOOR","player crosses trigger before lance","lock event set once","entrance tiles replaced + sfx","src/game/lances_room_scripts.c","Trigger/lock handler","missing","","Enter lance room and attempt backtracking behavior","No Lance room script owner found in src/game.","P0"
"121","LANCE_SET_BEAT","lance","event_set","scripts/LancesRoom.asm:156","LancesRoomLanceAfterBattleText","EVENT_BEAT_LANCE","lance battle completed","event set","none","src/game/lances_room_scripts.c","Lance after-battle text path","missing","","Beat Lance then verify champions room script arm","EVENT_BEAT_LANCE not referenced in src/game.","P0"
"130","CHAMP_SET_BEAT","champion","event_set","scripts/ChampionsRoom.asm:98","ChampionsRoomRivalDefeatedScript","EVENT_BEAT_CHAMPION_RIVAL","champion rival battle won","event set","oak arrival cutscene chain","src/game/champions_room_scripts.c","Rival defeated handler","missing","","Win champion and verify oak sequence runs","No ChampionsRoom script owner found in src/game.","P0"
"140","HOF_RANGE_RESET","hall_of_fame","range_reset","scripts/HallOfFame.asm:45","HallOfFameResetEventsAndSaveScript","INDIGO_PLATEAU_EVENTS_START..INDIGO_PLATEAU_EVENTS_END","hof save sequence reached","event range reset","last blackout map set + save cycle","src/game/hall_of_fame_scripts.c","Reset-and-save handler","missing","","Post-HOF reload and verify E4 temporary flags cleared","No HallOfFame script owner or Indigo range reset implementation found in src/game.","P0"
